radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,455,4,8,234570,0,113.54850769043,22.193069458008,1000,5,1,1384304289,1385354798,0
UMTS,455,4,8,232341,0,113.546619,22.192039,1000,8,1,1384304289,1408433799,0
UMTS,455,4,8,233951,0,113.545369,22.191108,1000,7,1,1384304289,1408433799,0
UMTS,455,4,8,232281,0,113.54438781738,22.190322875977,1000,2,1,1384304289,1408433799,0
UMTS,455,4,8,169724,0,113.54438781738,22.190322875977,1000,1,1,1384304289,1384284240,0
UMTS,455,4,5,169724,0,113.543941,22.191952,1000,43,1,1384304289,1408433799,0
UMTS,455,4,5,165324,0,113.544013,22.192196,1000,11,1,1384304289,1408433799,0
UMTS,455,4,5,164418,0,113.545212,22.198563,1000,10,1,1384339084,1408433799,0
UMTS,455,4,5,181878,0,113.5457611084,22.19856262207,1000,1,1,1384339085,1384318730,0
UMTS,455,4,5,164421,0,113.5448,22.198013,1000,10,1,1384339085,1408433799,0
UMTS,455,4,5,171055,0,113.543839,22.198563,1000,5,1,1384339085,1408433799,0
UMTS,455,4,5,170305,0,113.545303,22.198105,1000,6,1,1384339085,1408433799,0
UMTS,455,4,5,164284,0,113.543139,22.198563,1000,11,1,1384339085,1408433799,0
UMTS,455,4,5,164285,0,113.543015,22.199347,1000,14,1,1384339085,1408433799,0
UMTS,455,4,5,164288,0,113.543152,22.198837,1000,10,1,1384339085,1408433799,0
UMTS,455,4,5,166057,0,113.54301452637,22.201309204102,1000,5,1,1384339085,1408433799,0
UMTS,455,4,5,166058,0,113.542053,22.201309,1000,10,1,1384339085,1408433799,0
UMTS,455,4,5,169486,0,113.54164123535,22.201309204102,1000,5,1,1384339085,1408433799,0
UMTS,455,4,5,164083,0,113.540176,22.202774,1000,15,1,1384339085,1408433799,0
UMTS,455,4,5,141084,0,113.540739,22.203193,1000,35,1,1384339085,1408433799,0
UMTS,455,4,5,164135,0,113.540039,22.204056,1000,6,1,1384339085,1408433799,0
GSM,455,1,1,105,0,113.539352,22.203598,1000,6,1,1384427528,1408433799,0
UMTS,455,4,10,169703,0,113.540753,22.203329,1000,17,1,1384427529,1408433799,0
UMTS,455,4,5,141087,0,113.540268,22.202862,1000,23,1,1384427530,1408433808,0
UMTS,455,4,5,169703,0,113.540642,22.202807,1000,22,1,1384427530,1408433799,0
UMTS,455,4,10,164239,0,113.541183,22.203598,1000,3,1,1384427530,1385101123,0
UMTS,455,4,10,164503,0,113.541641,22.203369,1000,2,1,1384427530,1384633148,0
UMTS,455,4,5,170243,0,113.542099,22.203712,1000,12,1,1384427530,1408433799,0
UMTS,455,4,5,164965,0,113.542818,22.204252,1000,7,1,1384427530,1408433799,0
UMTS,455,4,5,165833,0,113.54301452637,22.204055786133,1000,1,1,1384427530,1384407348,0
UMTS,455,4,5,164968,0,113.543015,22.204399,1000,4,1,1384427530,1384668220,0
UMTS,455,4,5,164503,0,113.541641,22.203369,1000,4,1,1384427530,1408433808,0
UMTS,455,4,5,164714,0,113.547134,22.201859,1000,5,1,1384513281,1385101123,0
UMTS,455,4,5,141254,0,113.54713439941,22.201309204102,1000,17,1,1384513281,1408433799,0
UMTS,455,4,5,141357,0,113.54850769043,22.201309204102,1000,2,1,1384513281,1408433799,0
UMTS,455,4,5,141359,0,113.54850769043,22.201309204102,1000,3,1,1384513281,1408433799,0
UMTS,455,4,5,141356,0,113.54850769043,22.201309204102,1000,10,1,1384513281,1408433799,0
UMTS,455,4,5,165337,0,113.54850769043,22.201309204102,1000,1,1,1384513281,1384490874,0
UMTS,455,4,5,141256,0,113.54850769043,22.201309204102,1000,3,1,1384513281,1408433799,0
UMTS,455,4,5,169654,0,113.548508,22.201721,1000,10,1,1384513281,1408433799,0
UMTS,455,4,5,169793,0,113.547857,22.202321,1000,19,1,1384513281,1408433799,0
UMTS,455,4,5,165523,0,113.547036,22.202781,1000,14,1,1384513281,1408433799,0
UMTS,455,4,5,165623,0,113.545761,22.20314,1000,6,1,1384513281,1408433799,0
UMTS,455,4,5,98848,0,113.544863,22.204584,1000,26,1,1384513281,1408433799,0
UMTS,455,4,5,98847,0,113.5457611084,22.204055786133,1000,1,1,1384513281,1384491164,0
UMTS,455,4,5,164713,0,113.5457611084,22.204055786133,1000,1,1,1384513281,1384491179,0
UMTS,455,4,5,141215,0,113.545303,22.204056,1000,3,1,1384513281,1384750008,0
UMTS,455,4,10,105358,0,113.546219,22.203598,1000,9,1,1384513281,1408433799,0
UMTS,455,4,5,99110,0,113.54438781738,22.205429077148,1000,1,1,1384513281,1384491307,0
UMTS,455,4,5,105429,0,113.54438781738,22.205429077148,1000,2,1,1384513281,1408433799,0
UMTS,455,4,10,105429,0,113.544083,22.205887,1000,9,1,1384513281,1408433799,0
UMTS,455,4,10,105359,0,113.543186,22.208553,1000,40,1,1384513281,1408433799,0
UMTS,455,4,10,98849,0,113.54312,22.207331,1000,13,1,1384513281,1408433799,0
UMTS,455,4,10,99509,0,113.542191,22.206802,1000,5,1,1384513281,1408433799,0
UMTS,455,4,10,141153,0,113.541183,22.206802,1000,9,1,1384513281,1408433799,0
UMTS,455,4,10,151173,0,113.541092,22.206802,1000,5,1,1384513281,1408433799,0
UMTS,455,4,10,151234,0,113.540726,22.206802,1000,3,1,1384513281,1408433799,0
UMTS,455,4,10,171004,0,113.540955,22.207352,1000,10,1,1384513281,1408433799,0
UMTS,455,4,10,164140,0,113.540611,22.207146,1000,4,1,1384513281,1408433799,0
UMTS,455,4,10,164729,0,113.539581,22.204285,1000,12,1,1384513281,1408433799,0
UMTS,455,4,10,164134,0,113.54026794434,22.206802368164,1000,4,1,1384513281,1408433799,0
UMTS,455,4,10,165145,0,113.541092,22.207626,1000,5,1,1384513281,1408433799,0
UMTS,455,4,10,171003,0,113.541916,22.207901,1000,5,1,1384513281,1408433799,0
UMTS,455,4,10,164133,0,113.541779,22.208176,1000,10,1,1384513281,1408433799,0
UMTS,455,4,10,151233,0,113.54164123535,22.20817565918,1000,1,1,1384513281,1384491784,0
UMTS,455,4,10,151236,0,113.54164123535,22.20817565918,1000,3,1,1384513281,1408433799,0
UMTS,455,4,10,164139,0,113.541916,22.208176,1000,5,1,1384513281,1408433799,0
UMTS,455,4,10,164136,0,113.542156,22.208176,1000,8,1,1384513281,1408433799,0
UMTS,455,4,10,99112,0,113.543015,22.209157,1000,7,1,1384513281,1408433799,0
UMTS,455,4,10,99109,0,113.543129,22.208977,1000,12,1,1384513281,1408433799,0
UMTS,455,4,10,99527,0,113.543289,22.209,1000,5,1,1384513281,1408433799,0
UMTS,455,4,10,103709,0,113.543015,22.208519,1000,4,1,1384513281,1408433799,0
UMTS,455,4,10,100287,0,113.54301452637,22.209548950195,1000,2,1,1384513281,1408433799,0
UMTS,455,4,10,98949,0,113.543015,22.209721,1000,8,1,1384513281,1408433799,0
UMTS,455,4,10,98952,0,113.54301452637,22.209548950195,1000,13,1,1384513281,1408433799,0
UMTS,455,4,10,99532,0,113.54301452637,22.209548950195,1000,3,1,1384513281,1408433799,0
UMTS,455,4,10,105449,0,113.54301452637,22.210922241211,1000,3,1,1384513281,1385101001,0
UMTS,455,4,10,105462,0,113.54301452637,22.210922241211,1000,1,1,1384513281,1384492192,0
UMTS,455,4,10,99530,0,113.54393,22.208633,1000,3,1,1384513282,1408433799,0
UMTS,455,4,10,103715,0,113.54301452637,22.20817565918,1000,1,1,1384513282,1384492443,0
UMTS,455,4,10,103712,0,113.54393,22.208328,1000,9,1,1384513282,1408433799,0
UMTS,455,4,10,98852,0,113.543897,22.207587,1000,14,1,1384513282,1408433799,0
UMTS,455,4,10,99511,0,113.54438781738,22.20817565918,1000,2,1,1384513282,1408433799,0
UMTS,455,4,10,99508,0,113.54438781738,22.20817565918,1000,2,1,1384513282,1384492542,0
UMTS,455,4,10,100327,0,113.544388,22.207489,1000,2,1,1384513282,1384492619,0
UMTS,455,4,10,100328,0,113.54393,22.207718,1000,3,1,1384513282,1408433799,0
UMTS,455,4,10,98855,0,113.543091,22.206879,1000,18,1,1384513282,1408433799,0
UMTS,455,4,10,99510,0,113.54438781738,22.206802368164,1000,3,1,1384513282,1384492622,0
UMTS,455,4,10,108849,0,113.543407,22.207195,1000,7,1,1384513282,1408433799,0
UMTS,455,4,10,99108,0,113.54301452637,22.206802368164,1000,3,1,1384513282,1408433799,0
UMTS,455,4,10,141154,0,113.541779,22.205429,1000,10,1,1384513282,1408433799,0
UMTS,455,4,10,151174,0,113.541837,22.206214,1000,7,1,1384513282,1408433799,0
UMTS,455,4,10,151180,0,113.542156,22.205601,1000,8,1,1384513282,1408433799,0
UMTS,455,4,10,169413,0,113.54164123535,22.205429077148,1000,5,1,1384513282,1408433799,0
UMTS,455,4,10,169414,0,113.540833,22.205187,1000,17,1,1384513282,1408433799,0
UMTS,455,4,10,165104,0,113.541392,22.205429,1000,22,1,1384513282,1408433799,0
UMTS,455,4,10,165107,0,113.541367,22.205246,1000,15,1,1384513282,1408433799,0
UMTS,455,4,10,169417,0,113.541367,22.205338,1000,15,1,1384513282,1408433799,0
UMTS,455,4,10,141155,0,113.54164123535,22.205429077148,1000,4,1,1384513282,1408433799,0
